"row.names","subject","question","correct_response","response","score"
"5887","95","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"I don't know.",0
"5945","96","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"I think I noticed a pattern. If the number of sides is an even number, then the generators are odd numbers. If the number of sides is an odd number, then the generators are even.",0
"6003","97","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"I'm not sure.",0
"6033","98","Now you try! What is the inverse of 4 under +<sub>6</sub>? <br /><br /> (Remember, the inverse of an element is the thing which you combine with it to produce the identity.)","2","-2",0
"6051","98","What is the inverse of 5 under +< sub>9</s ub>?","4","5, since it is less than 9. ",0
"6052","98","What is the inverse of 2 under +<sub>9</sub>?","7","7, because it is less than 9, so you do 9-2 if I have this right. Which I'm not sure I do. ",1
"6053","98"," What is the inverse of 0 under +<sub>9</sub>?","0","9, since it's the inverse of itself?",0
"6061","98","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub>  without  seeing whether it can make all the elements?.",,"I think the elements that are generators have to be divisible by n, but again I'm not at all sure. ",0
"6119","99","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"I'm not sure if there's a pattern.",0
"6177","100","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"I don't know",0
"6244","101","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"No there is not",0
"6302","102","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"I don't know",0
"6360","103","Is there a pattern to  which e lements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"Generators must provide odd elements relative to the rest of the polygon. If (x+(n)) returns a finite number of responses when repeating, it is not a generator. For instance, if it looped into a series, (3,6,9,3,6,9), without touching other points on the polynomial, it would not be a generator.",0
"6386","104","What is 1 <img src=./images/hexagon_symbol.png style=width:14px;height:14px> 3? <br /><br /> (Remember, to perform <img src=./images/hexagon_symbol.png style=width:14px;height:14px>, you can use the interactive diagram on the right, or perform the operation in your mind. Point the arrow at the first number on the hexagon, then move the arrow the second number of points clockwise around the hexagon. The number the arrow arrives at is your result.)","4"," 4",1
"6418","104","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"Yes, there is  pattern.  Say, we have x as our element. If we repeatedly move x points starting from x and end up in x itself without covering some of the numbers, we can safely say that x in not a generator (one exception would be if x = 1). Otherwise it would be a generator. I think we we can have a formula for this (though I'm not sure if it is correct.) If n/x = 0 it is not a generator, otherwise it's a generator.",0
"6457","105","Practice: What is 5 +<sub>9</sub> 5?","1","1
",0
"6476","105","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"I am not that sophisticated. I make all the elements. You should advise me of this pattern ahead so that I can put it to use.",0
"6534","106","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"Ge nerators  can not fit into the numbers perfectly.",0
"6592","107","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"You have to work with the numbers",0
"6621","108","Now try one on your own! What is 4 <img src=./images/hexagon_symbol.png style=width:14px;height:14px> 5? <br /><br /> (Remember, to perform <img src=./images/hexagon_symbol.png style=width:14px;height:14px>,  you can  either use a method based on the hexagon at right, or a method based on arithmetic.<br /><br /><b>Hexagon method:</b> you can use the interactive diagram on the right, or perform the operation in your mind. Point the arrow at the first number, then move the arrow the second number of points clockwise around the hexagon. The number the arrow arrives at is your result. <br /><br /><b>Arithmetic method:</b> you start with the first number, and then add the second one to it. If the sum is smaller than 6, that's your result. If the sum is 6 or bigger, you subtract 6 to get your result.)","3","20",0
"6669","108","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"i dont know",0
"6701","109","What is 1 +<sub>6</sub> 1? <br /><br /> (Remember, to perform +<sub>6</sub>, you start with the first number, and then add the second one to it. If the sum is smaller than 6, that's your result. If the sum is 6 or bigger, you subtract 6 to get your result.)","2","2
",0
"6736","109","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"I'm not sure",0
"6757","110","What is 3 <img src=./images/hexagon_symbol.png style=width:14px;height:14px> 2? Try to solve this problem using the hexagon. <br /><br /> (Remember, to perform <img src=./images/hexagon_symbol.png style=width:14px;height:14px> on the hexagon, you can use the interactive diagram on the right, or perform the operation in your mind. Point the arrow at the first number on the hexagon, and then move the arrow the second number of points clockwise around the hexagon.)","5","5 ",1
"6794","110","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./ images/n gon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"X will be a generator as long as it is odd or an even number that will not produce a number greater than n.",0
"6861","111","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"I can feel that there's a pattern to do with divisibility, but can't really put it into words.",0
"6919","112","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"I couldn't find one. ",0
"6977","113","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"If x and n have a common divisor (other than 1) then x is a generator.  If there is a common divisor then you only get multiples of that divisor and not the other numbers so it cannot be a generator.",0
"7035","114","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"I'm not sure. It seem ed like  maybe if there were even-numbered shapes, then odd numbers worked, and if there were odd-numbered shapes, then even numbers worked.",0
"7102","115","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"If the total amount of numbers on the pattern are even or odd, it gives you a good idea of whether even or odd numbers can produce every number on the board.",0
"7160","116","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"I don't know.",0
"7211","117","What is the inverse of 3 under <img src=./images/hexagon_symbol.png style=width:14px;height:14px>? <br /><br /> (Remember, the inverse of an element is the thing which you combine with it to produce the identity.)","3"," 3",1
"7237","117","Is there a pattern to which eleme nts are  generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"It usually has to multiply with the generator under the n, and give a whole number rather than any decimals. ",0
"7257","118","Now try one on your own! What is 4 +<sub>6</sub> 5? <br /><br /> (Remember, to perform +<sub>6</sub>, you start with the first number, and then add the second one to it. If the sum is smaller than 6, that's your result. If the sum is 6 or bigger, you subtract 6 to get your result.)","3","34",0
"7258","118","What is 3 +<sub>6</sub> 2? <br /><br /> (Remember, to perform +<sub>6</sub>, you start with the first number, and then add the second one to it. If the sum is smaller than 6, that's your result. If the sum is 6 or bigger, you subtract 6 to get your result.)","5","9 ",0
"7305","118","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"by counting the numbers",0
"7363","119","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"I'm not sure.",0
"7421","120","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"I'm not sure but I believe it has something to do with the number n and how small the generator is.",0
"7448","121","What is 4 <img src=./images/hexagon_symbol.png style=width:14px;height:14px> 3? <br /><br /> (Remember, to perform <img src=./images/hexagon_symbol.png style=width:14px;height:14px>, you can use the interactive diagram on the right, or perform the operation in your mind. Point the arrow at the first number on the hexagon, then move the arrow the second number of points clockwise around the hexagon. The number the arrow arrives at is your result.)","1"," 1",1
"7479","121","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"The odd numbers will be generators",0
"7527","122","What is the inverse of 5 under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>?","4","again, this was a bit confusing for me.",0
"7528","122","What is the inverse of 2 under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>?","7","I actually did not follow along with the logic of inverse. I'm very sorry.",0
"7537","122","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"this is way more advanced than my brain at this time",0
"7604","123","Is there a pattern to which elements are generators? How can you know if an element x is a gen erator u nder <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"I'm really not sure but I think it has to do with odds and even numbers. I think as long N is odd it works out.",0
"7662","124","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"I am not sure if there is a pattern or not.",0
"7730","125","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"By logic",0
"7788","126","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png sty le=wid th:14px;height:14px> without seeing whether it can make all the elements?.",,"I don't think it is so much a pattern as it is which number can be made. I don't think there is a specific pattern. To see if element x is a generator I think you would have to estimate given that 0,1, and 2 area already shown.",0
"7838","127","What is the inverse of 0 under +<sub>9</sub>?","0","Nothing",0
"7846","127","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"I'm not sure.",0
"7904","128","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"I really have no idea if you can or not",0
"7962","129","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"I believe you numbers like 1 is a generator because it can make up all of the numbers.",0
"7995","130","What is 3 <img src=./images/hexagon_symbol.png style=width:14px;height:14px> 0? Try to solve this problem using the arithmetic technique. <br /><br /> (Remember, to perform <img src=./images/hexagon_symbol.png style=width:14px;height:14px> using arithmetic, you start with the first number, and then add the second one to it. If the sum is smaller than 6, that's your result. If the sum is 6 or bigger, you subtract 6 to get your result.)","3","3
",0
"7996","130","What is 4 <img src=./images/hexagon_symbol.png style=width:14px;height:14px> 4? Try to solve this problem using the hexagon. <br /><br /> (Remember, to perform <img src=./images/hexagon_symbol.png style=width:14px;height:14px> on the hexagon, you can use the interactive diagram on the right, or perform the operation in your mind. Point the arrow at the first number on the hexagon, and then move the arrow the second number of points clockwise around the hexagon.)","2","2
",0
"8039","130","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png st yle=wi dth:14px;height:14px> without seeing whether it can make all the elements?.",,"I don't know",0
"8096","131","What is the inverse of 5 under +<sub>9</sub>?","4","the inverse of a number is the element  you combine with it to get the identity ",0
"8106","131","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"you would have to see if x equals every other number under +n. ",0
"8164","132","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;heig ht:14px> without seeing whether it can make all the elements?.",,"I don't understand the generators. I thought that maybe it has to be an odd number or a factor of n, but that didn't seem to work in the examples you gave for (6).  I would have to just go through the numbers on the polygon and use trial and error. ",0
"8231","133","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"I'm not sure.",0
"8289","134","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"If the element is evenly divisible into n, then it is not a generator.",0
"8357","135","Is there a pattern to which elements are generators? How can you know  if an e lement x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"i am not sure about generators ",0
"8424","136","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"Yes there is a pattern. Zero is always a generator, and the number to the left of zero. ",0
"8477","137","What is 6 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 6?","3"," 3",1
"8491","137","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"If n is an even number then the generators will be all odd numbers.  If n is an odd number then the generators will be all even numbers.",0
"8558","138","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"with numbers ",0
"8616","139","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"If it's an even division (like 1/3) it will not be a generator because it will only be able to get to a few numbers",0
"8674","140","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"Only 1 can be a generator.",0
"8732","141","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"There appears to be pattern of multiplication. ",0
"8774","142","What is 1 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 8?","0","0 ",1
"8790","142","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"That I really can't discern.  Without knowing if n is odd or even, makes it doubly difficult to even have an idea what elements can be a generator.",0
"8848","143","Is there a pattern  to which  elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"I am lost",0
"8906","144","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"Odd numbers can't be generated by even numbers.",0
"8964","145","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"So long as they aren't whole divisors of n.",0
"8975","145","Please answer the following question:<br /><br />What is the inverse of 0 under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>?","0"," 0",1
"8999","146","What is 1 <img src=./images/hexagon_symbol.png style=width:14px;height:14px> 3? Try to solve this problem using the arithmetic technique. <br /><br /> (Remember, to perform <img src=./images/hexagon_symbol.png style=width:14px;height:14px> by arithmetic, you start with the first number, and then add the second one to it. If the sum is smaller than 6, that's your result. If the sum is 6 or bigger, you subtract 6 to get your result.)","4","4 ",1
"9031","146","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"I don't believe you can know this without seeing whether it can make al l the el ements.",0
"9098","147","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"if n is evenly divisible by x",0
"9155","148","What is the inverse of 5 under +<sub>9</sub>?","4","I think it is 5?",0
"9156","148","What is the inverse of 2 under +<sub>9</sub>?","7","2?",0
"9165","148","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"I don't know, I am sorry",0
"9208","149","What is 5 +<sub>9</sub> 4?","0","0 ",1
"9223","149","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"not sure",0
"9271","150","What is the inverse of 5 under +<sub>9</sub>?","4","4 ",1
"9281","150","Is there a pa ttern to  which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"I want to say that all generators are prime numbers?",0
"9339","151","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"I cannot answer this qu estion.  Inadequate explanation before, or I'm just an idiot. ",0
"9359","152","Now try one on your own! What is 4 +<sub>6</sub> 5? <br /><br /> (Remember, to perform +<sub>6</sub>, you start with the first number, and then add the second one to it. If the sum is smaller than 6, that's your result. If the sum is 6 or bigger, you subtract 6 to get your result.)","3","4+5=9-6=3",1
"9397","152","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"if you can add it to itself a couple times",0
"9465","153","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"By counting the steps",0
"9523","154","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img s rc=./i mages/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"I think it might have something to do with multiples of the number",0
"9600","155","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"It will depend on what numbers you have",0
"9667","156","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"1 and n are always the generators.",0
"9692","157","What is 4 <img src=./images/hexagon_symbol.png style=width:14px;height:14px> 4? <br /><br /> (Remember, to perform <img src=./images/hexagon_symbol.png style=width:14px;height:14px>, you can use the interactive diagram on the right, or perform the operation in your mind. Point the arrow at the first number on the hexagon, then move the arrow the second number of points clockwise around the hexagon. The number the arrow arrives at is your result.)","2","2 ",1
"9694","157","What is 4 <img src=./images/hexagon_symbol.png style=width:14px;height:14px> 3? <br /><br /> (Remember, to perform <img src=./images/hexagon_symbol.png style=width:14px;height:14px>, you can use the interactive diagram on the right, or perform the operation in your mind. Point the arrow at the first number on the hexagon, then move the arrow the second number of points clockwise around the hexagon. The number the arrow arrives at is your result.)","1","1 ",1
"9725","157","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14p x> wit hout seeing whether it can make all the elements?.",,"Now I'm second guessing my first answers... the explanation of generators was unclear to me, I thought to be a generator, each number had to be able to become the next number, which would mean that most numbers are not generators since 2 cannot be 5 and so forth... I honestly don't know, this is super confusing.",0
"9783","158","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"Im not sure.",0
"9813","159","What is 3 +<sub>6</sub> 2? <br /><br /> (Remember, to perform +<sub>6</sub>, you start with the first number, and then add the second one to it. If the sum is smaller than 6, that's your result. If the sum is 6 or bigger, you subtract 6 to get your result.)","5","11",0
"9832","159","What is 3 +<sub>9</sub> 3?","6","15",0
"9850","159","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"I honestly don't know. This seems so confusing.",0
"9908","160","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"1 is always a generator, and I think the lowest factor of n that is greater than 1, along with multiples of that factor that are less than n are generators.",0
"9966","161","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"I still don't understand generators",0
"10024","162","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"I'm not sure if there is a pattern or not. It seems like generators tend to be odd numbers when the +n is an odd number and then tend to be even numbers when +n is an even number.",0
"10082","163","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"If x does not equal 1, then n must not be a multiple of x. If n is a multiple of x, then x cannot be a generator, unless x is 1.",0
"10108","164","What is 1 <img src=./images/hexagon_symbol.png style=width:14px;height:14px> 3? <br /><br /> (Remember, to perform <img src=./images/hexagon_symbol.png style=width:14px;height:14px>, you can use the interactive diagram on the right, or perform the operation in your mind. Point the arrow at the first number on the hexagon, then move the arrow the second number of points clockwise around the hexagon. The number the arrow arrives at is your result.)","4","4
",0
"10123","164","What is 7 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4?","2","12",0
"10140","164","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"If it is a perfect divisor of n then it is not a generator.  But also 6 was not a generator of nine and 6 is not a divisor of 9 so Im not sure.  Mabye because 6 is a multiple of 3?  I'm not clear  enough  on this to make up a formal rule",0
"10198","165","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"if any number along the N generates further movement, its a generator
",0
"10256","166","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"There might be, but I am not sure of a definite pattern. It must be able to produce even and odd numbers.",0
"10314","167","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"it all depends on the size of the polygon, and the number of sides.",0
"10381","168","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"yes, if x is not a multiple of (n), the element should be a generator.",0
"10439","169","Is there a pattern to which elements are generators? How can you know if an element x is a g enerator  under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"The generators can be put in an equation for all numbers. You can know whether or not a number is a generator by imagining and using the graph. ",0
"10497","170","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"I don't know",0
"10532","171","What is 1 <img src=./images/hexagon_symbol.png style=width:14px;height:14px> 3? Try to solve this problem using the arithmetic technique. <br /><br /> (Remember, to perform <img src=./images/hexagon_symbol.png style=width:14px;height:14px> by arithmetic, you start with the first number, and then add the second one to it. If the sum is smaller than 6, that's your result. If the sum is 6 or bigger, you subtract 6 to get your result.)","4","4 ",1
"10564","171","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"The pattern to which elements are generators is solved by continuo usly add ing the element by itself until you see repetition. Once the repetition has started, if all the other elements have been selected, it is a generator. I don't know how you can know if an element is a generator without seeing if it can make all the elements.",0
"10631","172","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img s rc=./i mages/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"A generator must be itself or higher in order to get a result under (n).",0
"10698","173","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"If n is odd, then the generators are even. If n is even, then the generators are odd.",0
"10765","174","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"I did not notice a pattern in the element generators, I think that maybe certain numbers that are easily divisible may tell you if a generator under _n can make all elements",0
"10823","175","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"You can tell based on the total number of sides/dots. ",0
"10881","176","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"5 and N -1 are generators.",0
"10939","177","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"My guess would be there is some sort of pattern I just can't find out what that pattern is.",0
"10997","178","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"I am not sure, I don't know if you can. Perhaps by counting using the available numbers then multiplying by 4.",0
"11055","179","Is there a pa ttern to  which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"I don't think there is a pattern. At least I haven't been able to figure one out.",0
"11122","180","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"Don't know",0
"11189","181","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"If the number is a factor of that number it's not a generator all non factors are generators (besides 1).",0
"11200","181","Please answer the following question:<br /><br />What is the inverse of 0 under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>?","0","0 ",1
"11256","182","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"x=n+(x-n) because that would cover ever y elemen t in polygon...hopefully",0
"11314","183","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"I think the number of sides corresponds to how many steps are required for 0 to be reached, or for a particular number to be an inverse under the generator. ",0
"11381","184","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"I have no idea. I', sure I must have answered the generator questions wrong. (Although it  might hi t me five screens from now.)",0
"11406","185","What is 4 <img src=./images/hexagon_symbol.png style=width:14px;height:14px> 4? Try to solve this problem using the hexagon. <br /><br /> (Remember, to perform <img src=./images/hexagon_symbol.png style=width:14px;height:14px> on the hexagon, you can use the interactive diagram on the right, or perform the operation in your mind. Point the arrow at the first number on the hexagon, and then move the arrow the second number of points clockwise around the hexagon.)","2","2
",0
"11409","185","What is 0 <img src=./images/hexagon_symbol.png style=width:14px;height:14px> 5? <br /><br /> (Remember, to perform <img src=./images/hexagon_symbol.png style=width:14px;height:14px>, you can either use a method based on the hexagon at right, or a method based on arithmetic.<br /><br /><b>Hexagon method:</b> you can use the interactive diagram on the right, or perform the operation in your mind. Point the arrow at the first number, then move the arrow the second number of points clockwise around the hexagon. The number the arrow arrives at is your result. <br /><br /><b>Arithmetic method:</b> you start with the first number, and then add the second one to it. If the sum is smaller than 6, that's your result. If the sum is 6 or bigger, you subtract 6 to get your result.)","5","5 ",1
"11439","185","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"n-x",0
"11506","186","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"One is always a generator, regardless of the number of spaces.",0
"11564","187","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"There is a pattern to generators, but I cannot recall how to find the element of X without all the elements.",0
"11631","188","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"Yes, there is a pattern for generators. You can tell that a number is a generator if it can be combined with itself to create another value on the wheel. ",0
