"row.names","subject","correct_response","response","explanation","score"
"13010","211","n-x","I don't know? x(n)n-1","I have no idea how to depict that correctly. I don't know if I can use the number in the circle in the formula. The formula is trying to say that the inverse is the number of steps it takes to get to 0 from the starting position. ",0
"13067","212","n-1","0",,0
"13068","212","n-x","i have no idea","i have no idea",0
"13125","213","n-1","I honestly don't know. I am so lost.",,0
"13126","213","n-x","I honestly have no idea.","This one REALLY is confusing me.  Ugh!",0
"13192","214","n-1","1n9 = 0",,0
"13193","214","n-x","xn0=x","0 is the inverse of x because it equals x",0
"13250","215","n-1","I don't know.",,0
"13251","215","n-x","If I had to guess I would say the inverse of x is n-x.","If I had to guess I would say the inverse of x is n-x. ",1
"13318","216","n-1","1_n",,0
"13319","216","n-x","x_n","n can be any number ",0
"13376","217","n-1","1 under n =2",,0
"13377","217","n-x","2","1 under 1 = 2",0
"13434","218","n-1","1 + x = n",,0
"13435","218","n-x","n - x = inverse","The inverse is the number that x needs to make n.",1
"13501","219","n-1","I honestly have no idea, I'm sorry.",,0
"13502","219","n-x","I don't know","I'm sorry... did you explain this to me? I read the little blurb you gave me just before these problems, but it didn't say anything about a formula. ",0
"13559","220","n-1","1-n",,0.5
"13560","220","n-x","I don't understand this.","I'm sorry.  I'm not comprehending what you're asking for.",0
"13626","221","n-1","1 9 8",,0
"13627","221","n-x","x=x-n","element x could be anything",0.5
"13684","222","n-1","n - 1 = inverse",,1
"13685","222","n-x","n - x = inverse","The inverse is the number that makes x add to n.",1
"13742","223","n-1","+_8",,0
"13743","223","n-x","x +_n y = 0","The formula for an inverse of an element x under +_n is x +_n y = 0 with y representing the missing number in the inverse.",0
"13800","224","n-1","(n)(n)",,0
"13801","224","n-x","x(n)","I think because you start with x and you need to move (n) number of spaces to reach the correct number.",0
"13858","225","n-1","inverse=n-1",,1
"13859","225","n-x","inverse=n-x","The inverse is whatever the number it takes to complete n, so subtracting x from n should provide the inverse.",1
"13925","226","n-1","no idea",,0
"13926","226","n-x","no idea ","no idea
",0
"13992","227","n-1","n-1",,1
"13993","227","n-x","n-x","That should get you to 0",1
"14050","228","n-1","1",,0
"14051","228","n-x","I don't know","N/A",0
"14117","229","n-1","2+1=3",,0
"14118","229","n-x","1","1+0=1",0
"14175","230","n-1","9",,0
"14176","230","n-x","I don't know","How do you calculate the inverse when you don't know what either x or element n clocky thing are.",0
"14233","231","n-1","0=1n",,0
"14234","231","n-x","0=xn","you would get the inverse by finding the steps to 0.",0
"14300","232","n-1","(n)-1",,1
"14301","232","n-x","(n)-x if x>0, else 0","The inverse is the positive number that makes the (n) operation add up to a multiple of n. If x is 0 then it should be 0 instead of n.",1
"14367","233","n-1","n-1=X",,1
"14368","233","n-x","n-x=y","Subtract X from N (i.e., N-X) to get the inverse Y",1
"14425","234","n-1","2-1",,0
"14426","234","n-x","x-n","it's difference",0.5
"14493","235","n-1","2",,0
"14494","235","n-x","3","count to the right",0
"14560","236","n-1","1 + x = n - 1",,0
"14561","236","n-x","n - x","the inverse is going to be  whatever n is minus whatever x is because the inverse will be whatever makes x the same as n",0
"14618","237","n-1","1 n = 1+2 - n",,0
"14619","237","n-x","x + n = x + x - n","I cann ot expla in this in words, it's just based on my limited understanding of this concept.",0
"14685","238","n-1",".",,0
"14686","238","n-x","No idea","I must have misunderstood the instructions",0
"14743","239","n-1","1 +_n x = 0",,0
"14744","239","n-x","x +_n y = 0","The inverse of a number under +_n is whichever number, when added to x equals n",0
"14801","240","n-1","the formula is n-1",,1
"14802","240","n-x","n-x","if x is clockwise from 0 (or n) [n+x], then the inverse of x needs to be th e same d istance counterclockwise from 0 (or n).",1
"14859","241","n-1","1+0",,0
"14860","241","n-x","1+n=x","I am totally lost this is way beyond what I understand",0
"14917","242","n-1","1 + n = n",,0
"14918","242","n-x","1 + x = n","You need to add x to 1 to get n.",0
"14975","243","n-1","1",,0
"14976","243","n-x","...","Dont get it",0
"15033","244","n-1","1+n=n",,0
"15034","244","n-x","x+n=n","something added to any number is equal to n",0
"15101","245","n-1","Inverse = n - 1.",,1
"15102","245","n-x","Inverse = n-x","Total = n. So inverse of one number is n - that number.",1
"15168","246","n-1","1+n ",,0
"15169","246","n-x","X+xn","Thai  would cr eate the target number ",0
"15226","247","n-1","1N(n-1)",,1
"15227","247","n-x","XN(n-x)","The inverse of N would be whatever was needed to get back around to 0 from the given point, for example, if n was 5, and x was 2, then it would be 2(5)(5-2)
which would be 2(n)3",1
"15293","248","n-1","I = N - 1",,1
"15294","248","n-x","I = N - X","Element X plus invers e I must  equal N, as N - N = 0 under N. So if X + I = N, then I = N - X",1
"15351","249","n-1","1+2=0",,0
"15352","249","n-x","Inverse + x=n ","The inverse is the number when added to x gives (n) as a result.",0
"15418","250","n-1","n-1",,1
"15419","250","n-x","n-x","The inverse is how many places it takes to get back to 0. To get there you'd have to subtract X from n.",1
"15476","251","n-1","n-1",,1
"15477","251","n-x","n-x","the inverse is usua lly the  total number of sides minus x",1
"15534","252","n-1","n-1",,1
"15535","252","n-x","x-n","you want whatever added to n would give you x",0.5
"15602","253","n-1","if it's a triangle, the inverse of 1 under n is 2. ",,0
"15603","253","n-x","3. ","if 0 is the element x and n represents 3, then the inverse of x under n, given the polygon is a triangle, would be 3. ",0
"15660","254","n-1","i don't remember",,0
"15661","254","n-x","1","I'm not sure about inverse",0
"15727","255","n-1","n - 1",,1
"15728","255","n-x","n - x","x + inverse of x = n, or in the case of using the (n) system, x (n) inverse of x = 0. The two numbers combined have to get you to the top of the circle, the 0.",1
"15794","256","n-1","(n)25

??",,0
"15795","256","n-x","(n)4","because x has 4 points..??

(im sorry this part is really confusing for me)",0
"15852","257","n-1","+n = 1+n",,0
"15853","257","n-x","+n = x+n","I realize it could be any counting number.",0
"15910","258","n-1","Inverse of 1 = value of n - 1. So if n = 3, the inverse would be 3 - 1 = 2.",,1
"15911","258","n-x","Inverse = n - x","In any number sided shape, you can view the inverse as getting to the end of the shape. Therefore, you've already taken X number of steps towards getting to the end. Th at means  in a total of n steps, you need to take whatever the difference is between the number you have taken (x) with the total number of the shape (n).",1
"15968","259","n-1","1 + n",,0
"15969","259","n-x","n-(x+1)","This formula should always equal 1",0
"16026","260","n-1","(n)-1",,1
"16027","260","n-x","n-x","Whatever n is, subtracting x from it will give you the inverse number. ",1
"16093","261","n-1","1 (n) n-1",,1
"16094","261","n-x","x (n) n-x","x + n-x = n, since the value is equal to n, subtract n from it to get the result, 0.",1
"16160","262","n-1","1-n",,0.5
"16161","262","n-x","x-n","take n, subtract the element x from n and that leaves the inverse",0.5
"16228","263","n-1","8",,0
"16229","263","n-x","6","6 is clockwise downward after 3",0
"16286","264","n-1","10=n+1",,0
"16287","264","n-x","n0","inverse is 0",0
"16353","265","n-1","1 n 0 = 1",,0
"16354","265","n-x","x n 0 = x","0 is the inverse of x under n",0
"16411","266","n-1","0",,0
"16412","266","n-x","number of sides-n=x","I am not completely sure at this point, but the number of sides(9) mi nus a gi ven number would equal the inverse I believe.",0.5
"16469","267","n-1","n+1",,0
"16470","267","n-x","x+1","In a three sided figure, if we add one and two, we would get zero.",0
"16546","268","n-1","1",,0
"16547","268","n-x","x = n/n","n is any number ",0
"16613","269","n-1","10",,0
"16614","269","n-x","0","The number needed to reach 0",0
"16671","270","n-1","n-1",,1
"16672","270","n-x","n-x","The inverse is the number coupled with x that produces the identity, which is 0.  In the operation (n), the number  and its  inverse have to add to n (which produces 0), so the inverse of a number, x, is n-x.",1
"16729","271","n-1","n-1",,1
"16730","271","n-x","n-x","Like the  inverse  of 2 under an element under 6 is 6-2 = 4, this can be used here substituting n for 6 and x for 2.",1
"16787","272","n-1","7",,0
"16788","272","n-x","1+nX=0","to find the inverse you must write the number that will give the identity of 0",0
"16845","273","n-1","the inverse of 1 under n would be (n-1)",,1
"16846","273","n-x","the inverse of x under n is: n-x","since the inverse is the number that is added to x to equal zero that means that the inverse of x is n-x. ",1
"16912","274","n-1","The formula is +n",,0
"16913","274","n-x","x=+n","Any number can be plugged into n.",0
"16970","275","n-1","I don't know",,0
"16971","275","n-x","I don't know","this is confusing me",0
"17038","276","n-1","n = 2",,0
"17039","276","n-x","no answer","because we do not know what n or x is ",0
"17096","277","n-1","2",,0
"17097","277","n-x","The inverse means how much you can add to the variable to have it reach 0.","I am doing this based off of the instructions for the 6 operation.",0
"17163","278","n-1","Not sure",,0
"17164","278","n-x","Not sure","Not sure",0
"17230","279","n-1","I don't know. ",,0
"17231","279","n-x"," x +_n y = n ","I am really not good at algebra (math learning disability) so this is the best I can do. ",0
"17288","280","n-1","I don't know.",,0
"17289","280","n-x","I don't know.","I don't understand.",0
"17355","281","n-1","9 +_n = 1",,0
"17356","281","n-x","+n + +n= x","I don't think this is even close.",0
"17413","282","n-1","8",,0
"17414","282","n-x","x + x = 10","not sure",0
"17471","283","n-1","1 + x = n",,0
"17472","283","n-x","n - y = x","We are trying to find the number x, and the inverse is going to be n minus the number y, where y is the given number.",0.5
"17529","284","n-1","n - 1 = the inverse",,1
"17530","284","n-x","n - x = the inverse","Where n is the numbe r in the  polygon and x is an integer, the inverse is n minus x. ",1
"17596","285","n-1","0",,0
"17597","285","n-x","subtract x from _n","I'm not sure if I remembered correctly but the inverse is the number than makes _n = 0 when added to x. If _n was 6 and element x was 1. The inverse would be 6 - 1 = 5.",0
"17654","286","n-1","1x1=2",,0
"17655","286","n-x","x+x=inverse","click on x move x times clockwise to find the inverse",0
"17712","287","n-1","2",,0
"17713","287","n-x","-x","guess",0
"17770","288","n-1","N-1",,1
"17771","288","n-x","I honestly don't know","I honestly don't know",0
"17837","289","n -1","I have no idea.",,0
"17838","289","n-x","I don't know.","I understand the inverse just not without given variables.",0
"17904","290","n- 1","n-1",,1
"17905","290","n-x","x=x-n","x must have a number that totals to n so you figure it out that way",0.5
"17962","291","n-1","I'm not sure",,0
"17963","291","n-x","I don't know","I don't know how to calculate this",0
"18020","292","n-1","inverse = n-1"," ",1
"18021","292","n-x","n-x","The determine the answer, the sum of the two numbers has to equal 0.  So n-x equals the number of the inverse.",1
"18078","293","n-1","I'm not sure. +n minus 1 equals the inverse.",,1
"18079","293","n-x","I don't know","I'm not sure.",0
"18136","294","n-1","n-1",,1
"18137","294","n-x","n-x","any given number x, simply subtract from the total points on the operator to get its inverse",1
"18203","295","n-1","1n",,0
"18204","295","n-x","xn2","i do not know the answer",0
"18270","296","n-1","I don't know.",,0
"18271","296","n-x","I don't know","I don't understand this one so don't know the explanation.",0
"18337","297","n-1","+n-1",,1
"18338","297","n-x","subtract number from n, remainder is the inverse","subtract number from n, remainder is the inverse",1
"18405","298","n-1","9-1",,0
"18406","298","n-x","x - the number = 9","The numbers have to equal 9",0
"18472","299","n-1","n-1",,1
"18473","299","n-x","n-x","because x is the element that we are tying to find the inverse of.",1
