"subject","question","correct_response","response","trial_index"
"2664","46","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","I do not know.",61
"2665","46","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","I do not know.",62
"2666","46","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","I do not know.",63
"2721","47","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No. You can only get 2 and 1 as results.",60
"2722","47","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No, you will only get multiples of 3.",61
"2723","47","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","Yes, you can hit every number.",62
"2724","47","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No, you can only get multiples of 3.",63
"2779","48","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","2 yes because it can equal 9",60
"2780","48","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","yes because all can equal 9",61
"2781","48","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","no only 4 can equal 9",62
"2782","48","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","no because only 3 can equal 9",63
"2837","49","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no, because I can't make 1, 3, 5 using 2",60
"2838","49","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no",61
"2839","49","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes, I can make all the numbers using 5 ",62
"2840","49","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no ",63
"2895","50","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes because if you successively move 2 spaces across the nonagon you can reach every number.",60
"2896","50","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No because you cannot reach every number if you go 3 spaces successively around the nonagon.",61
"2897","50","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes because if you successively take 5 steps across the nonagon, you can reach every single number.",62
"2898","50","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, because if you take six spaces across the nonagon successively, you cannot reach every number. ",63
"2953","51","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes because can create ever number under 9 (i think)",60
"2954","51","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please e xplain i n words how you got your answer.","","no, i dont know why",61
"2955","51","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no, not sure",62
"2956","51","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answ er.","","yes, no idea",63
"3011","52","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no because using 2 I can't get 1,3,5 ",60
"3012","52","Is 3 a  generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no, using 3 I can't get 1,2,4,5,7,8",61
"3013","52","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes, I can get all the numbers ",62
"3014","52","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no ",63
"3069","53","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes because I can use 2 to get to every point",60
"3070","53","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No because I can only get 0, 3, 6, or 9, using 3 ",61
"3071","53","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes because I can get every number by using 5",62
"3072","53","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px >? Pleas e explain in words how you got your answer.","","No becasue I can only get 0, 3, or 6 using 6",63
"3127","54","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes it is because you can make every num ber with  2",60
"3128","54","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no because you can make 4,5,7,8,1,2",61
"3129","54","Is 5 a generator under <img sr c=./im ages/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes because you can make every number with 5",62
"3130","54","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no because you cant make 1, 2, 4, 5 ,7 ,8",63
"3185","55","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes, I can generate every number using 2",60
"3186","55","Is 3 a generator under <img  src=. /images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, there isn't a way to get 1 using 3",61
"3187","55","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, there is not a way to get 5 when starting with 5",62
"3188","55","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes, I can get all other numbers from 6",63
"3243","56","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No, you can get number 4, 6, and 8. But there is no way to make numbers 1, 3, 5, and 7. ",60
"3244","56","Is 3 a generator under +<sub>9</sub>? Please explain in words h ow you g ot your answer.","","No. You can get numbers 0, 3, 6. But there is no way to get numbers 2, 4, 6, and 8. ",61
"3245","56","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No, you are unable to make numbers 2, 3, 4, 5, 7, and 8 using successive operations of 5. ",62
"3246","56","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No, you are unable to numbers like 1, 2, 4, 5, 6, 7, and 8 using successive operations of 6. ",63
"3301","57","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes, because 2 is not a factor of 9 and it is not 0.",60
"3302","57","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, because it is a factor of 9.",61
"3303","57","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes, because it is not a factor of 9 and it is not 0. ",62
"3304","57","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, because it is a multiple of a factor of 9.",63
"3359","58","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no, because you can't make 1,3,5,7 using 2. ",60
"3360","58","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no. ",61
"3361","58","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes, you can make all the numbers using 5. ",62
"3362","58","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no",63
"3417","59","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no because 2 cannot be added to equal 9",60
"3418","59","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes because 3 and 6 equals 9",61
"3419","59","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your ans wer.","","no because 5 cannot be paired with a number to equal 9",62
"3420","59","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes because 6 and 3 equal 9",63
"3485","60","Is 2 a generator under +<sub>9</sub>? Pl ease exp lain in words how you got your answer.","","No, it's not 1,3,5",80
"3486","60","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No it's not 1,3,5",81
"3487","60","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No it's not 1,3,5",82
"3488","60","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No...It's not 1,3,5",83
"3543","61","Is 2 a generator under +<sub>9</sub>? Pl ease exp lain in words how you got your answer.","","No. You are not able to combine with the other numbers and stay below 9",60
"3544","61","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No. You are not able t o achiev e all outcomes without exceeding 9",61
"3545","61","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No. You are not able to achieve all numbers without exceeding 9",62
"3546","61","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No. You are not able to achieve all numbers without exceeding 9",63
"3601","62","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no it cant be made for odd numbers",60
"3602","62","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes it can be made multiples of odds and evens",61
"3603","62","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no it cant ",62
"3604","62","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no its too big",63
"3659","63","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","2+2=4. 4",60
"3660","63","Is 3 a generator  under +< sub>9</sub>? Please explain in words how you got your answer.","","3+3 is 6. 6 is the answer",61
"3661","63","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","5+5 is 10-9 is 1",62
"3662","63","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","I dont know.",63
"3717","64","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no. i guessed",60
"3718","64","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes. i guessed",61
"3719","64","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","y es. i guessed",62
"3720","64","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no, i guessed",63
"3775","65","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","I'm not sure",60
"3776","65","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","I'm not sure",61
"3777","65","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes, just guessing, cannot remember exactly",62
"3778","65","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Not sure",63
"3833","66","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","I honestly don't understand this definition.",60
"3834","66","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","I honestly don't understand this definition.",61
"3835","66","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","I honestly don't understand this definition.",62
"3836","66","Is 6 a generator under +<sub>9</sub>? Please explain in words how you  got your  answer.","","I honestly don't understand this definition.",63
"3891","67","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes. 2+2=4, 2+2+2=6, 2+2+2+2=8, 2 +2+2+2+2 =1, etc. you can make each number with 2.",60
"3892","67","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no, 3 can only make 0,3,6",61
"3893","67","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words h ow you g ot your answer.","","yes, adding 5s together can make each number.",62
"3894","67","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no, can only make 6,3,0",63
"3959","68","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Im not really sure",80
"3960","68","I s 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","im not rally sure",81
"3961","68","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","im not really sure",82
"3962","68","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","im note really sure",83
"4017","69","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>?  Please e xplain in words how you got your answer.","","No because not all numbers can be made from 2.",60
"4018","69","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No because not all numbers can be made from 3.",61
"4019","69","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes because the numbers can be made from 5.",62
"4020","69","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No because the numbers can't all be made from 6.",63
"4075","70","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No becaus e you ca n't get 1, 3, or 5 with just using 2",60
"4076","70","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No because you can't get 1 or 5 by solely using 3",61
"4077","70","Is 5 a generator under <img src=./images/nonagon_sy mbol.png  style=width:14px;height:14px>? Please explain in words how you got your answer.","","No because you can't get 1 or 3 by just using 5",62
"4078","70","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes because you can use any combination of the other numbers to get six...I think.",63
"4133","71","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no, because not every number can be made by 2",60
"4134","71","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no, because not every number can be made by 3",61
"4135","71","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no, not every number can be made by 5",62
"4136","71","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes, ",63
"4191","72","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No because you can't create every number with 2 123456789 for example ",60
"4192","72","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","Yes because you can generate every number with 3 123456789",61
"4193","72","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No  because you can't create every number with 5 123456789 ",62
"4194","72","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","no because you can't create every number with 6 ",63
"4249","73","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","no because you can't make every other number with it",60
"4250","73","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","yes because you can make every other number with it",61
"4251","73","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","no because you can't make every other number with i t",62
"4252","73","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","no because you can't make every other number with it",63
"4307","74","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","Yes. I think it is because it can generate other numbers.",60
"4308","74","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No. I don't think it can generate other numbers.",61
"4309","74","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No. I don't think it can generate other numbers. ",62
"4310","74","Is 6 a generator under +<sub>9</sub>? Please explain in words how you  got you r answer.","","Yes, I think that 6 can generate other numbers.",63
"4365","75","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no...there is no way to do all the numbers... I kinda get this one",60
"4366","75","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","nope...again doesn't do all the numbers",61
"4367","75","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","nope...same explanation as the last 2 ",62
"4368","75","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please expla in in wo rds how you got your answer.","","no...doesn't encompass all the numbers",63
"4423","76","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","2 is not a generator under (9) because we can not use just to to get to all the numbers",60
"4424","76","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","3 is a generator because we can use just 3 to get to all  numbers ",61
"4425","76","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","5 is not a generator under (9) because we cannot use 5 to get to all numbers",62
"4426","76","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","6 is not a generator under (9). because we do not get to 7, 8,1,2 ... using just 6",63
"4481","77","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes, because you can get all the numbers by using 2. ",60
"4482","77","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, because you cannot get some of the numbers with 3. In the last one, it looke d like 0  and odd numbers could not be generators. I think that's true of this one, too.",61
"4483","77","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","I don't think so. I don't think odd numbers can be generators.",62
"4484","77","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","I think it is, yes.",63
"4539","78","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your a nswer.","","yes, every number can be made under 2",60
"4540","78","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no, 4, 5, 7, 8, 1, 2 cannot be made with 3",61
"4541","78","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes, every number can be made under 5",62
"4542","78","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no, only 0, 3 , 6 can be made under 6",63
"4597","79","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","no. You cannot add to nine, which make zero unachievable.",60
"4598","79","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No. You can only come up with 3 6 and zero.",61
"4599","79","I s 5 a ge nerator under +<sub>9</sub>? Please explain in words how you got your answer.","","Yes. Five plus five is ten, which comes to one. Add another five and the sum is six. Every round it goes up by one.",62
"4600","79","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No. You can only get six, three and zero.",63
"4655","80","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","no, because it does not make all the other generators",60
"4656","80","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","no - because it does not make all the other generators",61
"4657","80","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","yes, because it makes the other generators",62
"4658","80","Is 6 a generator under +<sub>9</ sub>? Pl ease explain in words how you got your answer.","","no, because it does not make the other generators",63
"4713","81","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","Yes, because 2 can generate every number, from zero to 8.",60
"4714","81","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No, because 3 can only generate 0,3, and 6. It can not generate 1,2,4,5,7,or 8.",61
"4715","81","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","Yes, because 5 can generate every number from 0 to 8.",62
"4716","81","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No, it can only generate 0,3, and 6. It can not generate numbers 1,2,4,5,7,or 8.",63
"4771","82","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, because it won't match all number destinations.",60
"4772","82","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes, because there is a match for all numbers",61
"4773","82","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no, because there is not a match for all numbers.",62
"4774","82","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no, because there is not a match for all numbers.",63
"4829","83","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","Two is not a generator under +9 because there is no way to make odd numbers.",60
"4830","83","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your ans wer.","","Three is a generator because it can be use to generate every number from one to nine.",61
"4831","83","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","Five is a generator because under +9 it can be combined to create any number from one through nine.",62
"4832","83","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","Six is a generator under +9 because it can generate any number under +6. I don't know if that's specific enough so 6+9+1 = 7, 6+9+2 = 8, 6+9+3 = 9 & 0, 6+9+4 = 1, 6+9+5 = 2, 6+9+6 = 3, 6+9+7 = 4, 6+9+8 = 5, 6+9+9 = 6. In this way you can generate every number under +9.",63
"4887","84","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","This one I am also unsure about and got it confused with the identity ",60
"4888","84","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","Same response as the last one I am confused by the generator part of  it",61
"4889","84","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","Same as the last I am confused by this generator concept ",62
"4890","84","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","Same as last I am confused by this generator c oncept",63
"4945","85","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes, can make all numbers",60
"4946","85","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, cannot make all numbers",61
"4947","85","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, cannot make all numbers",62
"4948","85","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, cannot make all numbers",63
"5003","86","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, I cannot make 1,3,5,7 using just 2",60
"5004","86","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, I cannot make every other number using just 3",61
"5005","86","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes, I can make every other number using 5",62
"5006","86","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, I can make 0,3,6 but not every other number.",63
"5061","87","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes beca use you  can generate every number with steps of 2",60
"5062","87","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No because you cannot generate every number with steps of 3",61
"5063","87","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Plea se expla in in words how you got your answer.","","Yes because you can generate every number with steps of 5",62
"5064","87","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No because you cannot generate every number with steps of 6",63
"5119","88","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no because you cannot reach every number  on the p olygon by moving in 2s",60
"5120","88","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, because you cannot reach every point on the polygon using 3s",61
"5121","88","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes, because if you move in 5s, you can reach every point",62
"5122","88","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No, because you cannot reach every point",63
"5177","89","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you  got you r answer.","","No",60
"5178","89","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No",61
"5179","89","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes",62
"5180","89","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No",63
"5235","90","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes. I placed the arrow on 2, then moved the arrow 2 spaces at a time and recorded the numbers until I had accounted for all of them.",60
"5236","90","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No. I placed the arrow on 3, then moved 3 spaces clockwise until I saw that I was getting a repeated number.",61
"5237","90","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes. I placed the arrow on 5 and then moved 5 spaces clockwise around figure until I had landed on each number to confirm that it would generate all of them.",62
"5238","90","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No. I placed the arrow on the 6 and moved 6 places clockwise around figure until I got a repeat number instead of a new one.",63
"5293","91","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no because you can not make 1 3 or 5 just using 2 ",60
"5294","91","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes because you can use it by itself ",61
"5295","91","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes it can be made by minusing the other numbers",62
"5296","91","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes because you can use it to make 1,3 or 5",63
"5361","92","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","7 by subtracting 2 form 9",80
"5362","92","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","6 by subtracting",81
"5363","92","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","4 by subtraxting",82
"5364","92","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","3 by subtracting ",83
"5419","93","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Yes, it you keep doing increments of two, you get a different number",60
